701000,20161001,1,40,30,38,23,2440,2012,272,274,9,663,1364
701000,20161010,1,40,38,14,19,2645,2338,224,143,5,518,1021
701000,20161031,1,40,31,30,29,1647,1823,428,167,7,632,1868
701000,20161101,1,40,18,18,31,2725,1345,296,316,8,512,1565
701000,20161102,1,40,20,23,22,2345,2206,316,241,5,563,1744
701000,20161103,1,40,25,13,38,2889,1312,216,334,3,666,1500
701000,20161104,1,40,11,34,49,1171,1262,342,257,4,590,1876
701000,20161105,1,40,41,19,24,1019,2286,392,387,7,719,1174
701000,20161106,1,40,14,17,42,2051,2952,295,455,7,705,1978
701000,20161107,1,40,29,31,23,1800,1383,311,295,2,623,1556
701000,20161108,1,40,18,10,20,1031,2754,343,196,2,658,1220
701000,20161109,1,40,46,40,25,1842,2559,345,467,9,624,1336
701000,20161110,1,40,38,22,16,2019,2122,463,451,4,596,1090
701000,20161111,1,40,10,25,48,2051,1525,329,124,6,744,1185
701000,20161112,1,40,23,39,47,2894,2164,292,488,5,535,1349
701000,20161113,1,40,45,35,27,1435,1173,371,447,2,694,1333
701000,20161114,1,40,38,39,37,2910,2452,374,111,7,547,1925
701000,20161115,1,40,27,15,45,1321,2884,320,421,2,555,1008
701000,20151001,1,40,46,45,40,2928,1995,463,488,2,523,1610
701000,20151010,1,40,26,42,14,1813,1765,345,320,4,738,1187
701000,20151031,1,40,17,41,46,1634,2026,359,247,6,576,1483
701000,20151101,1,40,35,20,32,1236,2999,483,133,7,721,1552
701000,20151102,1,40,30,15,24,1575,2485,266,189,9,543,1064
701000,20151103,1,40,33,38,15,2295,2260,228,428,7,709,1519
701000,20151104,1,40,19,37,27,2657,1862,305,276,3,656,1303
701000,20151105,1,40,44,39,17,1699,1447,302,113,6,726,1712
701000,20151106,1,40,42,33,18,1500,1368,355,223,4,598,1675
701000,20151107,1,40,19,16,21,1146,1847,373,408,1,645,1289
701000,20151108,1,40,23,43,46,1011,1353,442,358,6,648,1822
701000,20151109,1,40,21,33,34,2671,2297,353,291,7,599,1100
701000,20151110,1,40,31,19,18,1400,2303,295,112,2,619,1376
701000,20151111,1,40,49,37,28,2646,1878,214,190,5,505,1746
701000,20151112,1,40,39,20,30,1952,2810,145,280,3,769,1861
701000,20151113,1,40,15,27,19,1977,1250,308,459,7,702,1252
701000,20151114,1,40,43,38,28,1872,2477,440,479,8,719,1821
701000,20151115,1,40,25,33,42,1401,1849,307,494,1,690,1205
701000,20151116,1,40,17,32,46,2711,2877,485,260,5,770,1641
701000,20151117,1,40,17,12,36,2214,1854,391,371,7,584,1929
